Feature,Importance
INITIAL_SEVERITY_LEVEL_CODE,0.25969939639338574
Hour,0.20517353478068467
DayOfWeek,0.13532034182846325
INCIDENT_DISPATCH_AREA_M9,0.02544439994897951
FINAL_SEVERITY_LEVEL_CODE,0.018760942863549856
INCIDENT_DISPATCH_AREA_K4,0.015748901549175732
INCIDENT_CLASSIFICATION_ABDPN,0.01566712256769164
INCIDENT_DISPATCH_AREA_M7,0.015541364290620648
INCIDENT_CLASSIFICATION_INJURY,0.014502850018950263
INCIDENT_DISPATCH_AREA_M8,0.014308603072985324
BOROUGH_MANHATTAN,0.01288904369537359
INCIDENT_CLASSIFICATION_EDP,0.012282837391212942
INCIDENT_DISPATCH_AREA_B2,0.011589368506971443
INCIDENT_CLASSIFICATION_SICK,0.0108471023612129
BOROUGH_BROOKLYN,0.010613035450845652
INCIDENT_CLASSIFICATION_RESPFC,0.010197161430618076
INCIDENT_DISPATCH_AREA_M6,0.009981409064015418
INCIDENT_CLASSIFICATION_EDPC,0.009207148856990614
INCIDENT_CLASSIFICATION_UNKNOW,0.008737990599485261
INCIDENT_CLASSIFICATION_CARDFC,0.0078096172113478165
